"","teamID","yearID","lgID","franchID","divID","Rank","G","Ghome","W","L","DivWin","WCWin","LgWin","WSWin","R","AB","H","X2B","X3B","HR","BB","SO","SB","CS","HBP","SF","RA","ER","ERA","CG","SHO","SV","IPouts","HA","HRA","BBA","SOA","E","DP","FP","name","park","attendance","BPF","PPF","teamIDBR","teamIDlahman45","teamIDretro","Playoff","BA","OBP","SLG","OPS","Diff","Salary"
"1","ANA",1997,"AL","ANA","W",2,162,82,84,78,"N","N","N","N",829,5628,1531,279,25,161,617,953,126,72,45,57,794,730,4.52,9,5,39,4364,1506,202,605,1050,123,140,0.98,"Anaheim Angels","Edison International Field",1767330,102,102,"ANA","ANA","ANA","0",0.272032693674485,0.345517567354656,0.416311300639659,0.761828867994315,35,31135472
"2","ANA",1998,"AL","ANA","W",2,162,81,85,77,"N","N","N","N",787,5630,1530,314,27,147,510,1028,93,45,48,41,783,720,4.49,3,5,52,4332,1481,164,630,1091,106,146,0.983,"Anaheim Angels","Edison International Field",2519280,102,102,"ANA","ANA","ANA","0",0.271758436944938,0.335206293144967,0.415452930728242,0.750659223873209,4,41281000
"3","ANA",1999,"AL","ANA","W",4,162,81,70,92,"N","N","N","N",711,5494,1404,248,22,158,511,1022,71,45,43,42,826,762,4.79,4,7,37,4294,1472,177,624,877,106,156,0.983,"Anaheim Angels","Edison International Field",2253123,99,100,"ANA","ANA","ANA","0",0.255551510738988,0.321510673234811,0.39497633782308,0.716487011057891,-115,55388166
"4","ANA",2000,"AL","ANA","W",3,162,81,82,80,"N","N","N","N",864,5628,1574,309,34,236,608,1024,93,52,47,43,869,805,5,5,3,46,4344,1534,228,662,846,134,182,0.978,"Anaheim Angels","Edison International Field",2066982,102,103,"ANA","ANA","ANA","0",0.279673063255153,0.352355358836548,0.472459132906894,0.824814491743442,-5,51464167
"5","ANA",2001,"AL","ANA","W",3,162,81,75,87,"N","N","N","N",691,5551,1447,275,26,158,494,1001,116,52,77,53,730,671,4.2,6,1,43,4313,1452,168,525,947,103,142,0.983,"Anaheim Angels","Edison International Field",2000919,101,101,"ANA","ANA","ANA","0",0.260673752477031,0.326801619433198,0.404972077103225,0.731773696536423,-39,47535167
"6","ANA",2002,"AL","ANA","W",2,162,81,99,63,"N","Y","Y","Y",851,5678,1603,333,32,152,462,805,117,51,74,64,644,595,3.69,7,14,54,4357,1345,169,509,999,87,151,0.986,"Anaheim Angels","Edison International Field",2305547,100,99,"ANA","ANA","ANA","1",0.282317717506164,0.340713603058299,0.432546671363156,0.773260274421455,207,61721667
"7","ANA",2003,"AL","ANA","W",3,162,82,77,85,"N","N","N","N",736,5487,1473,276,33,150,476,838,129,61,56,50,743,680,4.28,5,9,39,4294,1444,190,486,980,105,138,0.982,"Anaheim Angels","Edison International Field",3061094,98,97,"ANA","ANA","ANA","0",0.268452706396938,0.330367441094085,0.41279387643521,0.743161317529295,-7,79031667
"8","ANA",2004,"AL","ANA","W",1,162,81,92,70,"Y","N","N","N",836,5675,1603,272,37,162,450,942,143,46,73,41,734,692,4.28,2,11,50,4363,1476,170,502,1164,90,126,0.985,"Anaheim Angels","Angels Stadium of Anaheim",3375677,97,97,"ANA","ANA","ANA","1",0.282466960352423,0.340759737137362,0.429074889867841,0.769834627005203,102,100534667
"9","ARI",1998,"NL","ARI","W",5,162,81,65,97,"N","N","N","N",665,5491,1353,235,46,159,489,1239,73,38,64,27,812,737,4.63,7,6,37,4297,1463,188,489,908,100,125,0.984,"Arizona Diamondbacks","Bank One Ballpark",3610290,100,99,"ARI","ARI","ARI","0",0.246403205244946,0.313951573052215,0.392824622108906,0.706776195161121,-147,32347000
"10","ARI",1999,"NL","ARI","W",1,162,81,100,62,"Y","N","N","N",908,5658,1566,289,46,216,588,1045,137,39,48,60,676,615,3.77,16,9,42,4402,1387,176,543,1198,104,132,0.983,"Arizona Diamondbacks","Bank One Ballpark",3019654,101,101,"ARI","ARI","ARI","1",0.27677624602333,0.346553352219075,0.45864262990456,0.805195982123635,232,68703999
"11","ARI",2000,"NL","ARI","W",3,162,81,85,77,"N","N","N","N",792,5527,1466,282,44,179,535,975,97,44,59,58,754,698,4.35,16,8,38,4331,1441,190,500,1220,107,138,0.982,"Arizona Diamondbacks","Bank One Ballpark",2942251,105,103,"ARI","ARI","ARI","0",0.265243350823231,0.333387279495064,0.429346842771847,0.762734122266911,38,81027833
"12","ARI",2001,"NL","ARI","W",1,162,81,92,70,"Y","N","Y","Y",818,5595,1494,284,35,208,587,1052,71,38,57,36,677,627,3.87,12,13,34,4379,1352,195,461,1297,84,148,0.986,"Arizona Diamondbacks","Bank One Ballpark",2736451,108,107,"ARI","ARI","ARI","1",0.267024128686327,0.340717131474104,0.441823056300268,0.782540187774372,141,85082999
"13","ARI",2002,"NL","ARI","W",1,162,81,98,64,"Y","N","N","N",819,5508,1471,283,41,165,643,1016,92,46,50,53,674,630,3.92,14,10,40,4340,1361,170,421,1303,89,116,0.985,"Arizona Diamondbacks","Bank One Ballpark",3198977,111,111,"ARI","ARI","ARI","1",0.267066085693537,0.346018548129197,0.423202614379085,0.769221162508282,145,102819999
